map_link,name,rating,speciality,contact,website_href
https://www.google.com/maps/place/Vedant+Hospital+Meerut/data=!4m7!3m6!1s0x390c65ea253fd0b3:0x1eebfff8fa2fa69a!8m2!3d28.9619181!4d77.7406008!16s%2Fg%2F11ryz1dgq3!19sChIJs9A_JeplDDkRmqYv-vj_6x4?authuser=0&hl=en&rclk=1,Vedant Hospital Meerut,4.6,Hospital,090272 18113,http://www.d2dnews.com/business-detail.aspx?i=a17e6bda-39e7-4887-8a9b-40418c31ae4e
https://www.google.com/maps/place/Ajay+Hospital/data=!4m7!3m6!1s0x390c7b59adb34e51:0xd6a59b07baa63400!8m2!3d28.9523248!4d77.7590019!16s%2Fg%2F1hm59jvyn!19sChIJUU6zrVl7DDkRADSmugebpdY?authuser=0&hl=en&rclk=1,Ajay Hospital,3.6,Hospital,0121 260 0028,http://www.ajayhospital.com/
https://www.google.com/maps/place/Bhagya+Shree+Hospital+and+Trauma+Centre/data=!4m7!3m6!1s0x390c64b719cfffff:0x21a564002789e76f!8m2!3d28.9659986!4d77.7358438!16s%2Fg%2F1hm54hqq7!19sChIJ___PGbdkDDkRb-eJJwBkpSE?authuser=0&hl=en&rclk=1,Bhagya Shree Hospital and Trauma Centre,3.4,General hospital,,
https://www.google.com/maps/place/S+S+Hospital/data=!4m7!3m6!1s0x390c7b81ff228f9f:0x8336c4b0666d223f!8m2!3d28.9545949!4d77.7562433!16s%2Fg%2F11tsnxw701!19sChIJn48i_4F7DDkRPyJtZrDENoM?authuser=0&hl=en&rclk=1,S S Hospital,5,Hospital,,
https://www.google.com/maps/place/Navjeevan+Hospital/data=!4m7!3m6!1s0x390c64b7c11cedfb:0xe61622a0124d33f3!8m2!3d28.968785!4d77.7354253!16s%2Fg%2F11hc_801ld!19sChIJ--0cwbdkDDkR8zNNEqAiFuY?authuser=0&hl=en&rclk=1,Navjeevan Hospital,3.5,Hospital,076681 91449,
https://www.google.com/maps/place/Vardhman+Hospital/data=!4m7!3m6!1s0x390c64bb218f1f87:0xdda40af470c72741!8m2!3d28.958743!4d77.729917!16s%2Fg%2F11cp1l1403!19sChIJhx-PIbtkDDkRQSfHcPQKpN0?authuser=0&hl=en&rclk=1,Vardhman Hospital,3.8,General hospital,070556 03622,http://vardhmanhospitalmeerut.in/
https://www.google.com/maps/place/Divyajyoti+Hospital/data=!4m7!3m6!1s0x390c7acd17b3aab3:0xebcd4493c7d4d20b!8m2!3d29.0075093!4d77.7470647!16s%2Fg%2F12646gr38!19sChIJs6qzF816DDkRC9LUx5NEzes?authuser=0&hl=en&rclk=1,Divyajyoti Hospital,3.7,General hospital,0121 262 0888,
https://www.google.com/maps/place/Meerut+Kidney+Hospital/data=!4m7!3m6!1s0x390c64db1d6fabed:0x56cb33ad6bc4ccda!8m2!3d28.9830592!4d77.7309026!16s%2Fg%2F124yg15p9!19sChIJ7atvHdtkDDkR2szEa60zy1Y?authuser=0&hl=en&rclk=1,Meerut Kidney Hospital,3.9,Hospital,0121 267 2022,
"https://www.google.com/maps/place/Narayan+hospital,+garh+road+,Meerut/data=!4m7!3m6!1s0x390c7bc7bf4b51c3:0xa53c58385f234b0a!8m2!3d28.9514893!4d77.7598553!16s%2Fg%2F11s5bntvz3!19sChIJw1FLv8d7DDkRCksjXzhYPKU?authuser=0&hl=en&rclk=1","Narayan hospital, garh road ,Meerut",4.8,Hospital,075360 00036,
https://www.google.com/maps/place/Yashlok+Hospital+-+Best+Medical+Services+in+Meerut+%7C+Best+Gynae+Laparoscopic+Surgeon+in+Meerut/data=!4m7!3m6!1s0x390c64e378778e3f:0xca17056191247eeb!8m2!3d28.985908!4d77.7136348!16s%2Fg%2F1261_1l2x!19sChIJP453eONkDDkR634kkWEFF8o?authuser=0&hl=en&rclk=1,Yashlok Hospital - Best Medical Services in Meerut | Best Gynae Laparoscopic Surgeon in Meerut,3.6,Urology clinic,0121 264 9525,https://www.yashlokhospitals.in/
